TITLE,AGE,YEAR,EPISODES,RUNTIME,TYPE,ORIGIN_COUNTRY,summary,RATING,genres,image_url
The Ghost Writer,PG-13,2010,1,128,movie,France,"An unremarkable ghost-writer has landed a lucrative contract to redact the memoirs of Adam Lang, the former UK Prime Minister. After dominating British politics for years, Lang is campaigning for his foundation with his wife in the USA. He lives on an island, in luxurious, isolated premises complete with a security detail and a secretarial staff. Soon, Adam Lang gets embroiled in a major scandal with international ramifications that reveals how far he was ready to go in order to nurture UK's ""special relationship"" with the USA. But before this controversy has started, before even he has closed the deal with the publisher, the ghost-writer gets unmistakable signs that the turgid draft he is tasked to put into shape inexplicably constitutes highly sensitive material. —Eduardo Casais <casaise@acm.org>",7.2,"Crime,Drama,Mystery",https://m.media-amazon.com/images/M/MV5BMTI3NzMwMzkyNV5BMl5BanBnXkFtZTcwODk4NjQxMw@@._V1_FMjpg_UX1000_.jpg
Sseulsseulhago Chalranhashin: Dokkaebi,16,2016,16,60,tvSeries,South Korea,"Kim Shin, a decorated military general from the Goryeo Dynasty, is framed as a traitor and killed by his master, the young King. Years after his death, he is cursed by the almighty to stay immortal forever and endure the pain of seeing his loved ones die as a punishment for the beastly killings he committed in the wars to protect his country. He becomes an immortal goblin, helping people with his powers and being a kind man in spite of his grieving past. The only way to put an end to his immortality is the Goblin's bride, who can see and remove the sword in his chest and end his painful life. Closer to the present day, Kim Shin has waited 900 years for a human bride to end his immortal life. One night, he saves a dying pregnant woman who is destined to die. The woman gives birth to a baby girl named Ji Eun Tak. 19 years later, Ji Eun Tak is a bubbly high school student who remains cheerful and hopeful despite her tragic life. She summons the goblin by chance and their fates begin to entwine. Kim Shin's nephew Yoo Deok Hwa leases Shin's house to a Grim Reaper and the two end up living under the same roof. Sunny is a charismatic young lady who runs a chicken shop in which Ji Eun Tak works as a part timer. As the lives of Kim Shin, Grim Reaper, Ji Eun Tak and Sunny interweave, a deeper story unfolds as they are not just strangers who met-by chance but people with deep-rooted relations. —T",8.6,"Comedy,Drama,Fantasy",https://m.media-amazon.com/images/M/MV5BZTg0YmQxZTgtMzgwYi00N2NhLTlkMWYtOWYwNDA1YjkxMmViL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg
Delhi Crime,16+,2019,8,50,tvSeries,India,"It is based on the true-life investigation about a brutal gang rape in India. The case had enormous impact, paving the way for the introduction of stricter laws so the victim's voice will finally be heard in this developing nation. —Richie Mehta",8.5,"Crime,Drama",https://m.media-amazon.com/images/M/MV5BODg1MTYyZjYtMzJhZi00ZjI3LWI3MTItZTFhZDNhZmYwMjYwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_FMjpg_UX1000_.jpg
Cidade Invisível,16,2021,8,60,tvSeries,Brazil,An underground world is inhabited by mythical creatures evolved from a deep lineage of Brazilian folklore. One detective who finds himself caught in a murder investigation that puts him in the middle of a battle between these two worlds.,7.4,"Crime,Drama,Fantasy",https://m.media-amazon.com/images/M/MV5BYTM5MDg3MGMtODAyYy00MGQ0LWJhM2MtZDFmMjAzNTFhZGRmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
Alexa & Katie,7,2018,40,25,tvSeries,United States,"When Alexa and Katie graduate from middle school and go to high school, they're ready for anything. Or so they think--until Alexa is diagnosed with cancer. But with each other's help, they can navigate high school and deal with anything else.",7.5,"Comedy,Drama",https://m.media-amazon.com/images/M/MV5BNTk2NzY2NTItYWFhMS00NGM5LWIwNTgtMTEwNzdiMzE4Njk3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
Cargo,PG-13,2017,1,105,movie,Australia,"After an epidemic spreads all over Australia, a father searches for someone willing to protect his daughter.",6.3,"Drama,Horror,Sci-Fi",https://m.media-amazon.com/images/M/MV5BZTczZWEyOTktODNmMC00NDgzLTk3NTktYjllN2Y4MWMxOGViXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
The Perfection,G,2018,1,90,movie,United States,"An elegant and terrifying suspense ride filled with unexpected twists and turns. When troubled musical prodigy Charlotte (Allison Williams) seeks out Elizabeth (Logan Browning), the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences. —Netflix",6.1,"Drama,Horror,Music",https://m.media-amazon.com/images/M/MV5BMTA3NzkzMDUxODBeQTJeQWpwZ15BbWU4MDM0ODc5ODcz._V1_FMjpg_UX1000_.jpg
Touch,18+,2012,26,43,tvSeries,United States,"Widower Martin Bohm's wife, Sarah Bohm, died in the twin towers on September 11, 2001. Previously a newspaper journalist, Martin since has worked a series of odd jobs in trying to make sense of his life, which includes caring for his son Jake, who was born on October 26, 2000. Jake was diagnosed as autistic, primarily because he has never uttered a word, and has an aversion to being touched. But Martin begins to believe that there is more to Jake's life than meets the eye. Jake, using a series of numbers, leads Martin to discoveries about a certain equilibrium to the world. Martin may ultimately find out what Jake's grand purpose is, and why Jake was placed on the face of the Earth. —Huggo",7.3,"Drama,Mystery,Sci-Fi",https://m.media-amazon.com/images/M/MV5BNTI3OTcwNTk3Ml5BMl5BanBnXkFtZTcwNzA3NzAzNw@@._V1_FMjpg_UX1000_.jpg
Good on Paper,R,2021,1,92,movie,United States,"After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true.",6.1,"Comedy,Romance",https://m.media-amazon.com/images/M/MV5BZmJmZTk0Y2MtY2QyZS00YjI0LWI3MmMtZDI5ZTUwYjA4NWFjXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_FMjpg_UX1000_.jpg
Dad Stop Embarrassing Me,13,2021,8,25,tvSeries,United States,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,4.2,"Comedy,Family",https://m.media-amazon.com/images/M/MV5BNTM5MzRiODYtMTRiZC00OTFiLWFiMDUtNjBkMGI4YzYxYjAzXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_FMjpg_UX1000_.jpg
Trollhunters,16,2016,54,23,tvSeries,United States,"Jim Lake Jr. is an ordinary kid with a busy Mom and a yearning to have more adventure in his life. As it happens, Jim gets more than he wished when he finds a magic amulet under a bridge.calling to him. With that discovery, Jim finds himself recruited as the next. and first human, Troll Hunter, the champion of the Troll world. Together with his friend, Toby Domzalski, Jim discovers the world of Troll Market, where he begins his training under the tutelage of his new mentors, Blinky and AAARRRGGHH!!!, who also tell him of the threat of the Gumm Gumms, who scheme to release their leader, Gunmar the Black, to conquer both the Troll and Human worlds. In the struggle ahead, Jim and his friends will discover enemies and friends where they least expect them as their shadow war draws ever greater danger and complications into all their lives. —Kenneth Chisholm (kchishol@rogers.com)",8.5,"Action,Adventure,Animation",https://m.media-amazon.com/images/M/MV5BN2Y2YWE0ZDMtNzQzMC00MDI0LThlZjAtMWY4YjZlYWM2OWFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
Señora Acero,13+,2014,387,\N,tvSeries,Mexico,"An innocent woman becomes haunted by the death of her husband to later learn that he secretly worked in the drug business. This woman, Sara, slowly begins her own drug trafficking business and becomes a woman she never expected to be. Sara fights endlessly to save her son from his severe diabetes and the opposing cartel, while having to do deal with a life of crime. —Miguel Mujica",7.2,"Crime,Drama,Romance",https://m.media-amazon.com/images/M/MV5BYzQ4NzFmNTgtNjgyZi00NjJhLWI2NGQtMGUxYTc5YTMwZTY3XkEyXkFqcGdeQXVyMTcxNTYyMjM@._V1_FMjpg_UX1000_.jpg
The Thundermans,PG,2013,98,23,tvSeries,United States,"Meet The Thundermans, a typical suburban family that happens to have astounding superpowers. At the center of the action are the 14-year-old Thunderman twins, who share the same bathroom, the same school, and the same annoying little siblings. Their only difference? The sister is a super student with a super sunny disposition who super looks forward to being a superhero someday, and her twin brother is a super villain. —Nickelodeon",5.8,"Action,Comedy,Drama",https://m.media-amazon.com/images/M/MV5BZWYxMTgxYTQtMWM3Ni00NmI5LWIwYjAtYTRkNDNhYzY5YmE3XkEyXkFqcGdeQXVyNTM1OTAxODg@._V1_FMjpg_UX1000_.jpg
The Two Popes,16,2019,1,125,movie,United Kingdom,"An intimate story of one of the most dramatic transitions of power in the last 2,000 years. Frustrated with the direction of the church, Cardinal Bergoglio (Jonathan Pryce) requests permission to retire in 2012 from Pope Benedict (Anthony Hopkins). Instead, facing scandal and self-doubt, the introspective Pope Benedict summons his harshest critic and future successor to Rome to reveal a secret that would shake the foundations of the Catholic Church. Behind Vatican walls, a struggle commences between both tradition and progress, guilt and forgiveness, as these two very different men confront their pasts in order to find common ground and forge a future for a billion followers around the world. Inspired by true events. —Netflix",7.6,"Comedy,Drama",https://m.media-amazon.com/images/M/MV5BY2RiOTc1YmYtMDk0Yy00ZWI4LTgzN2YtYTg2ZDZmOGIwNTA1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
Horse Girl,18,2020,1,103,movie,United States,"Sarah, a socially isolated arts and crafts store employee, finds herself more content in the company of horses and supernatural crime shows than people. But when a series of strangely surreal dreams upend the simplicity of her waking life, Sarah struggles to distinguish her visions from reality. A darkly humorous psychological thriller about a woman's search for the truth, however abstract it may be. —Netflix",5.9,"Drama,Mystery,Thriller",https://m.media-amazon.com/images/M/MV5BMjkxYjU5Y2ItOGE5Yi00ZTg2LTgzNmUtZjI3NTNlOWRhNzllXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_FMjpg_UX1000_.jpg
The Poison Rose,R,2019,1,98,movie,Italy,"Inspired by classic film noir, ""The Poison Rose"" stars John Travolta as Carson Phillips, an ex-football star turned PI, who's got a soft spot for a lady in distress. Like the classic tales spun by the masters, he takes on a routine missing persons case which slowly reveals itself to be a complex interwoven web of crimes, suspects and dead bodies. When he discovers his long lost daughter is the number one suspect, he races a ticking clock to save her, solve the murders, and uncover the town's dirty secrets. —richard salvatore",4.7,Thriller,https://m.media-amazon.com/images/M/MV5BMTU2NDkwNDQ5N15BMl5BanBnXkFtZTgwOTM2NTcwODM@._V1_FMjpg_UX1000_.jpg
Eli,R,2019,1,98,movie,United States,A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.,5.7,"Drama,Horror,Mystery",https://m.media-amazon.com/images/M/MV5BYWQwYjNiM2ItMTcyZS00ZTNmLTgwNzQtMTgwNzU5ODgxMTc3XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_FMjpg_UX1000_.jpg
Escape From Spiderhead,13+,2021,1,\N,movie,United States,"This is set in the near future, when convicts are offered the chance to volunteer as medical subjects in hopes of shortening their sentences. When one prisoner finds himself the test patient for a new pharmaceutical capable of generating feelings of love, he begins questioning the reality of his emotions and sets out to discover the truth.",6.2,"Action,Mystery,Sci-Fi",https://m.media-amazon.com/images/M/MV5BOGNiNWNkMTAtZmY2ZC00NzVhLWE1M2YtMGU4ZjU0NTc0MWQ5XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_FMjpg_UX1000_.jpg
DARLING in the FRANXX,Not Rated,2018,26,24,tvSeries,Japan,"The story is set in the distant future. The land is ruined, and humanity establishes the mobile fort city Plantation. Pilots produced inside Plantation live in Mistilteinn, also know as the ""birdcage."" Children live there knowing nothing of the outside world or the freedom of the sky. Their lives consist of battling to carry out missions. Their enemies are mysterious giant lifeforms known as Kyouryuu, and the children pilot robots called Franxx to face off against them. For the children, riding the Franxx proves their existence. —ANN",7.4,"Action,Animation,Drama",https://m.media-amazon.com/images/M/MV5BZGVlY2ZhM2ItMWIwZC00YjU0LWJjNjAtZGVlNWJkM2JmZjhmXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_FMjpg_UX1000_.jpg
Law School,16,2021,16,65,tvSeries,South Korea,"When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students.",8.0,"Crime,Drama,Mystery",https://m.media-amazon.com/images/M/MV5BYTJhMjAxZTEtODg3Yy00MWQ4LWEzOGQtZDg4Y2IzODcwZjEwXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_FMjpg_UX1000_.jpg
To the Lake,18,2019,9,\N,tvSeries,Russia,"An unknown virus turns Moscow into a city of the dead. There is no electricity, money has lost all value and those who are still not infected, are desperately fighting for food and fuel. The main character, Sergei, lives outside the city with the woman he loves and her autistic son. It's still safe there. In spite of that he rushes to Moscow to save his ex-wife and their son, although she hates Sergei . These people, who never believed they'd be under the same roof again, have to put the past behind them and set off on a long, dangerous journey north to find an isolated hunting lodge on a deserted island. The Outbreak is a family drama in the midst of a global disaster. It is one of the first post-apocalyptic TV shows in Russia and is based on bestselling book, Vongozero, which was written by Yana Vagner and translated into eleven languages. One of the parts will be played by Maryana Spivak (principle role in the film, Loveless by Andrei Zvyagintsev, which won the ""Jury Prize"" at Cannes in 2017).",7.3,"Drama,Sci-Fi,Thriller",https://m.media-amazon.com/images/M/MV5BMDc3MzllMzgtNjFlZS00N2IxLWIwYjEtNGViNTIwYmMzZDA0XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_FMjpg_UX1000_.jpg
Madame Claude,18,2021,1,112,movie,France,"Paris, in the late 1960s. Madame Claude is at the head of a flourishing business dedicated to prostitution that gives her power over both the French political and criminal worlds. But the end of her empire is closer than she thinks.",5.4,"Biography,Crime,Drama",https://m.media-amazon.com/images/M/MV5BNzNkYzFiZDMtYTRjZC00ZWI4LWE4YTctYjI0NjBkMDljYWY5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_FMjpg_UX1000_.jpg
Bad Blood,16,2017,14,47,tvSeries,Canada,"A story of family, loyalty, deceit, power, greed, and ultimately revenge. Montreal Mafia boss Vito Rizzuto is a criminal anomaly. Determined to bring peace to the disparate wings of the Montreal crime world of the day, Rizzuto successfully unifies them, serving as a de facto CEO while ensuring a lucrative payday for all. When Rizzuto is suddenly arrested and extradited to Colorado's Supermax Prison for the 1981 murders of three Bonanno crime family members, the powerful empire he built begins to crumble. Rizzuto watches helplessly until his release from prison in October 2012, when a Shakespearean tale of revenge begins to unfold.",7.5,"Crime,Drama",https://m.media-amazon.com/images/M/MV5BMzRmNzZkMmMtMzU5YS00ZThhLWE2YzItZTNhNGMwMmI1MjQyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
Friends from College,18,2017,16,30,tvSeries,United States,"A group of friends from Harvard are facing down their forties. With interwoven and oftentimes complicated relationships with one another. ""Friends from College"" is a comedic exploration of old friendships, former romantic entanglements and balancing adult life with nostalgia for the past. —ajaynarayan-38732",6.9,"Comedy,Drama",https://m.media-amazon.com/images/M/MV5BMjMyNjgxNDc3MV5BMl5BanBnXkFtZTgwNDUyMzQ2NjM@._V1_FMjpg_UX1000_.jpg
The Sleepover,7,2020,1,100,movie,United States,"When two siblings discover their seemingly normal mom is a former thief in witness protection who has been forced to pull one last job, they team up to rescue her over the course of an action-packed night.",5.6,"Action,Adventure,Comedy",https://m.media-amazon.com/images/M/MV5BZmE1Mjg5ZjgtYjkzYi00OWYxLWEyMDQtYjI3NWE1ZTc3N2Q3XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_FMjpg_UX1000_.jpg
The Infiltrator,R,2016,1,127,movie,United Kingdom,"During the 1980s, U.S. Customs Service special agent Robert Mazur uses his undercover alias ""Bob Musella"" to become a pivotal player for drug lords cleaning their dirty cash. Later, he infiltrates the world's largest cartel, and helps expose the money-laundering organization of drug lord Pablo Escobar and take down the Bank of Credit and Commerce International, which had secretly taken illegal ownership of First American Bank shares in Washington, D.C. He survives the deception and has a long and productive career.",7.0,"Biography,Crime,Drama",https://m.media-amazon.com/images/M/MV5BMTEwNzM2NjY2MTNeQTJeQWpwZ15BbWU4MDQ3MDI3Njgx._V1_FMjpg_UX1000_.jpg
Majo no takkyûbin,U,1989,1,103,movie,Japan,"This is the story of a young witch, named Kiki who is now 13 years old. But she is still a little green and plenty headstrong, but also resourceful, imaginative, and determined. With her trusty wisp of a talking cat named Jiji by her side she's ready to take on the world, or at least the quaintly European seaside village she's chosen as her new home. —Anthony Pereyra (hypersonic91@yahoo.com)",7.9,"Adventure,Animation,Drama",https://m.media-amazon.com/images/M/MV5BOTc0ODM1Njk1NF5BMl5BanBnXkFtZTcwMDI5OTEyNw@@._V1_FMjpg_UX1000_.jpg
Gypsy,18,2017,10,51,tvSeries,United States,Therapist Jean Holloway becomes too immersed in the lives of her patients.,6.9,"Drama,Thriller",https://m.media-amazon.com/images/M/MV5BMTEzMTA1MTMyMjReQTJeQWpwZ15BbWU4MDY3MzUyMzIy._V1_FMjpg_UX1000_.jpg
Itaewon Keullasseu,16,2020,16,70,tvSeries,South Korea,"On the first day of attending his new high school, Park Sae Ro Yi punches his classmate Jang Geun Won, who was bullying another classmate. The bully is the son of CEO Jang Dae Hee. The bully's father runs restaurant business Jagga where Sae Ro Yi's own father works. CEO Jang Dae Hee demands to Sae Ro Yi that he apologizes to his son, but Sae Ro Yi refuses. Because of his refusal, he gets expelled from school and his father gets fired from his job. Soon, an accident takes place. Sae Ro Yi's father dies in a motorcycle accident caused by his ex-classmate Jang Geun Won. Burning with anger, Sae Ro Yi viciously beats Jang Geun Won. He is soon arrested and receives prison time for violent assault. Sae Ro Yi decides to destroy the Jagga company and take revenge upon CEO Jang Dae Hee and his son Jang Geun Won. Once Sae Ro Yi is released from prison, he opens a restaurant in Itaewon, Seoul. Jo Yi Seo, who is popular on social media, joins Sae Ro Yi's restaurant and works there as a manager. —AsianWiki",8.2,"Drama,Romance",https://m.media-amazon.com/images/M/MV5BODY1NWE2OTctOTU5MC00NTlmLWI2MzktMmYzMTUzYjk4YjEzXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_FMjpg_UX1000_.jpg
Kaze no tani no Naushika,U,1984,1,117,movie,Japan,"An animated fantasy-adventure. Set one thousand years from now, the Earth is ravaged by pollution and war. In the Valley of the Wind lives Nausicaä, Princess of her people. Their land borders on a toxic jungle, filled with dangerous over-sized insects. Meanwhile, two nearby nations are bitterly engaged in a war and the Valley of the Wind is stuck in the middle. —grantss",8.1,"Adventure,Animation,Fantasy",https://m.media-amazon.com/images/M/MV5BZTI3NmJmYTQtNDg4NS00M2VlLTgzZDAtZWIwZDcyOWY5YzIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
The Outsider,13+,2018,1,120,movie,United States,An epic set in post-WWII Japan and centered on an American former G.I. who joins the yakuza.,6.3,"Action,Crime,Drama",https://m.media-amazon.com/images/M/MV5BMjIyYjAzOWItNzI5Yy00NGU4LTlhODktYjZmZThmMTY3ZWNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
Two Distant Strangers,PG-13,2020,1,32,short,United States,"In ""Two Distant Strangers"", cartoonist Carter James' repeated attempts to get home to his dog are thwarted by a recurring deadly encounter that forces him to re-live the same awful day over and over again. Starring Joey Bada$$, Andrew Howard and Zaria Simone.",6.9,"Drama,Sci-Fi,Short",https://m.media-amazon.com/images/M/MV5BNjBlZTVhYzItOTdjOS00YWY0LWE3NzQtZTc5MjRkY2RjMDM5XkEyXkFqcGdeQXVyNTU5NjE4OTY@._V1_FMjpg_UX1000_.jpg
Circle,13+,2015,1,87,movie,United States,"In a massive, mysterious chamber, fifty strangers awaken to find themselves trapped with no memory of how they got there. Every two minutes, one of them must die... Executed by an electrical pulse generated from a source within the chamber. At first the attacks seem random, but, soon the strangers realize that they, as a group, have the power to decide who will be the next to be killed: by the power of the vote. Mob mentality at its finest hour. A chance to control the machine. How will they choose who deserves to die? What happens when there's only one person left? ""Circle"" is a film about humanity. How we value one another and how people react when they are forced to make decisions under the worst possible circumstances. It's a film that speaks to the very core of what makes us human - Who we are, what we believe and ultimately, the lengths we will go to in which to save ourselves.",6.0,"Drama,Horror,Mystery",https://m.media-amazon.com/images/M/MV5BMTg0Mjg0MjUwOF5BMl5BanBnXkFtZTgwNjk0NzQ4NzE@._V1_FMjpg_UX1000_.jpg
The Real Housewives of New York City,18,2008,257,44,tvSeries,United States,"A fast-paced reality show that follows several incredibly busy and ambitious Manhattan women. Watch as they balance envious social calendars, challenging careers, and motherhood, with the hustle and bustle of the big city all around.",4.5,Reality-TV,https://m.media-amazon.com/images/M/MV5BOGI2ODUwMzUtMzBjZS00NDIxLTg5YWMtMGM5MDYyOTM4OGQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
"Game Over, Man!",18+,2018,1,101,movie,United States,"Alexxx, Darren, and Joel are three losers who work as maids at a hotel and all have problems. Alexxx is an impulsive and immature manchild. Darren constantly vapes to avoid the world around. Joel is a closeted gay man whose sexuality is obvious to everyone except himself. When word gets out that social media influencer Bae Awadi is coming to their hotel, the three try to pitch their game idea to him. But when terrorists arrive and take hostages, including Bae, the three must man up and save the day.",5.4,"Action,Comedy",https://m.media-amazon.com/images/M/MV5BMTUxNjI4MDU2OF5BMl5BanBnXkFtZTgwMDAzMzA1NDM@._V1_FMjpg_UX1000_.jpg
Tales of the City,18,2019,10,60,tvSeries,United States,"A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind. ""Tales of the City"" focuses primarily on the people who live in a boardinghouse turned apartment complex owned by Anna Madrigal at 28 Barbary Lane, all of whom quickly become part of what Maupin coined a ""logical family"". It's no longer a secret that Mrs. Madrigal is transgender. Instead, she is haunted by something from her past that has long been too painful to share.",7.4,Drama,https://m.media-amazon.com/images/M/MV5BNjVhMjBhMDYtYTVlZi00MWM3LTg1MDktYjc1NmZhOTNkOTA5XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_FMjpg_UX1000_.jpg
Crashing,G,2016,6,30,tvSeries,United Kingdom,"A comedy series following the lives of six 20- and 30-somethings living together as property guardians of a large, disused hospital.",7.7,Comedy,https://m.media-amazon.com/images/M/MV5BMmM2OGYwZmEtYmU3OS00OWYyLWE4ZmYtZmEwYzFmNTk0YmM4XkEyXkFqcGdeQXVyMTgyNDk1OTY@._V1_FMjpg_UX1000_.jpg
A Perfect Ending,18+,2012,1,110,movie,United States,"Rebecca has a very unusual secret, one that not even her best friends know about. The last person on earth she expects to reveal it to is a high priced escort named Paris. What starts as a comedy of errors ends up a uniquely erotic journey. Rebecca's unconventional efforts to find herself are raw, evocative, and often times humorous, but always very real, very human. Sometimes a perfect ending is not what you expect it to be. —Soul Kiss Films",5.7,"Drama,Romance",https://m.media-amazon.com/images/M/MV5BMzk5MDgwOTg2NF5BMl5BanBnXkFtZTcwNjc5MjkwNw@@._V1_FMjpg_UX1000_.jpg
Lovesick,18,2014,22,24,tvSeries,United Kingdom,"After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.",8.1,Comedy,https://m.media-amazon.com/images/M/MV5BMzdjNDU5ZTEtNTA3OC00MmZkLTk0MDAtNDM1OTg3Y2NmZGM1XkEyXkFqcGdeQXVyMjA4Njg4OTQ@._V1_FMjpg_UX1000_.jpg
Devilman: Crybaby,PG,2018,10,25,tvMiniSeries,Japan,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.",7.6,"Action,Animation,Fantasy",https://m.media-amazon.com/images/M/MV5BZjYxMGRlZDAtYTU5Ny00NzhmLTgzYzgtNjNjNTZiZDQ5ZjU0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
Bonding,18,2018,15,107,tvSeries,United States,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,7.2,"Comedy,Drama",https://m.media-amazon.com/images/M/MV5BMDkwZDY3ODgtMThhNC00N2UzLTgzOGYtMTg5ZmNkOTZhMDJhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg
The Devil's Own,R,1997,1,111,movie,United States,"A thriller about an IRA gunman who draws an American family into the crossfire of terrorism. Frankie McGuire is one of the IRA's deadliest assassins. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, force Frankie to choose between the promise of peace or a lifetime of murder. —Robert Lynch <docrlynch@yahoo.com>",6.2,"Action,Crime,Drama",https://m.media-amazon.com/images/M/MV5BMTYzMDA1OTc4OF5BMl5BanBnXkFtZTgwODc2MzkyMTE@._V1_FMjpg_UX1000_.jpg
Despicable Me 2,U,2013,1,98,movie,United States,"While Gru, the ex-supervillain is adjusting to family life and an attempted honest living in the jam business, a secret Arctic laboratory is stolen. The Anti-Villain League decides it needs an insider's help and recruits Gru in the investigation. Together with the eccentric AVL agent, Lucy Wilde, Gru concludes that his prime suspect is the presumed dead supervillain, El Macho, whose his teenage son is also making the moves on his eldest daughter, Margo. Seemingly blinded by his overprotectiveness of his children and his growing mutual attraction to Lucy, Gru seems on the wrong track even as his minions are being quietly kidnapped en masse for some malevolent purpose. —Kenneth Chisholm (kchishol@rogers.com)",7.3,"Adventure,Animation,Comedy",https://m.media-amazon.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1_FMjpg_UX1000_.jpg
Night Stalker: The Hunt for a Serial Killer,18,2021,4,189,tvMiniSeries,United States,This limited docu-series tells the true story of how one of the most notorious serial killers in American history was hunted down and brought to justice.,7.5,"Crime,Documentary,Mystery",https://m.media-amazon.com/images/M/MV5BNWM1ODNlZDAtY2U0Yi00YTAyLTgwZWYtNTc2OTFkNDYzZjAxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg
Step Up,U,2006,1,104,movie,United States,"In Baltimore, the troublemaker and street dancer Tyler Gage lives with his foster parents in a lower class neighborhood. His best friends are Mac Carter and his little brother Skinny Carter and they used to hang around together, going to parties and stealing cars. After being expelled from a party, the trio breaks in the Maryland School of Arts and commits vandalism, destroying the stage. Tyler is arrested and sentenced to 200 hours of community service in the school and Director Gordon assigns him to help the janitor cleaning the place. One afternoon, the ballet dancer Nora Clark sees Tyler dancing in the parking area and when her partner Andrew has a strain and Tyler offers to help her in the choreography, she accepts the offer; they rehearsal and become close to each other while Tyler becomes friend of the students Miles Darby and Lucy Avila. When Andrew returns, Tyler that is known for quitting everything he starts gives up dancing and leaves Nora alone. After an incident, Tyler has to decide to follow his dream or return to his life of rebel loser. —Claudio Carvalho, Rio de Janeiro, Brazil",6.5,"Crime,Drama,Music",https://m.media-amazon.com/images/M/MV5BODEzMzVhODgtOTc1NS00MmY3LWI3OGUtN2ZjNDEwM2ExZjJlXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_FMjpg_UX1000_.jpg
3%,18,2016,33,49,tvSeries,Brazil,A world divided into progress and devastation. The link between the two sides - Offshore and Inland - is a rigorous and painstaking system called The Process. Everyone in Inland has a chance to go through The Process to live a better life in Offshore. But only 3% make it through.,7.4,"Action,Drama,Sci-Fi",https://m.media-amazon.com/images/M/MV5BNTY5NGYzYjAtZjMyOC00ODljLWI2ZDMtNzhmZDc3ZDQxMzc5XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_FMjpg_UX1000_.jpg
The Adventures of Sharkboy and Lavagirl 3-D,U,2005,1,93,movie,United States,"Max is a normal guy with a dreaming habit-making him a target for bullies. One day, he accidentally summons imaginary characters in his mind named sharkboy and lavagirl. They are his heroes who will defend him at all costs, but when they arrive for real, something unexpected happens, the 2 heroes need max to save their world from a dire threat",3.7,"Action,Adventure,Comedy",https://m.media-amazon.com/images/M/MV5BZjY5NGNhNDMtNDM3OC00YTc0LWFiMzYtNWQ1NWYyYzFjOTk0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_FMjpg_UX1000_.jpg
